D_i_v_i_d_e_n_d_s,S_t_o_c_k_ _S_p_l_i_t_s
0.000536,0.0
0.0,2.0
0.000536,0.0
0.000714,0.0
0.000714,0.0
0.000714,0.0
0.000714,0.0
0.000893,0.0
0.000893,0.0
0.000893,0.0
0.000893,0.0
0.000982,0.0
0.000982,0.0
0.000982,0.0
0.000982,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.001071,0.0
0.0,2.0
0.0,2.0
0.094643,0.0
0.094643,0.0
0.094643,0.0
0.108929,0.0
0.108929,0.0
0.108929,0.0
0.108929,0.0
0.1175,0.0
0.0,7.0
0.1175,0.0
0.1175,0.0
0.1175,0.0
0.13,0.0
0.13,0.0
0.13,0.0
0.13,0.0
0.1425,0.0
0.1425,0.0
0.1425,0.0
0.1425,0.0
0.1575,0.0
0.1575,0.0
0.1575,0.0
0.1575,0.0
0.1825,0.0
0.1825,0.0
0.1825,0.0
0.1825,0.0
0.1925,0.0
0.1925,0.0
0.1925,0.0
0.1925,0.0
0.205,0.0
0.205,0.0
0.0,4.0
0.205,0.0
0.205,0.0
0.22,0.0
0.22,0.0
0.22,0.0
0.22,0.0
0.23,0.0
0.23,0.0
0.23,0.0
0.23,0.0
0.24,0.0
0.24,0.0
0.24,0.0
0.24,0.0
