D_i_v_i_d_e_n_d_s,S_t_o_c_k_ _S_p_l_i_t_s
0.0,2.0
0.0,2.0
0.0,1.5
0.0,1.5
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,2.0
0.08,0.0
0.16,0.0
0.08,0.0
3.08,0.0
0.08,0.0
0.08,0.0
0.08,0.0
0.08,0.0
0.09,0.0
0.09,0.0
0.09,0.0
0.1,0.0
0.1,0.0
0.1,0.0
0.1,0.0
0.11,0.0
0.11,0.0
0.11,0.0
0.11,0.0
0.13,0.0
0.13,0.0
0.13,0.0
0.13,0.0
0.13,0.0
0.13,0.0
0.13,0.0
0.13,0.0
0.16,0.0
0.16,0.0
0.16,0.0
0.16,0.0
0.2,0.0
0.2,0.0
0.2,0.0
0.2,0.0
0.23,0.0
0.23,0.0
0.23,0.0
0.23,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.28,0.0
0.31,0.0
0.31,0.0
0.31,0.0
0.31,0.0
0.36,0.0
0.36,0.0
0.36,0.0
0.36,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.39,0.0
0.42,0.0
0.42,0.0
0.42,0.0
0.42,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.51,0.0
0.51,0.0
0.51,0.0
0.51,0.0
0.56,0.0
0.56,0.0
0.56,0.0
0.56,0.0
0.62,0.0
0.62,0.0
0.62,0.0
0.62,0.0
0.68,0.0
0.68,0.0
0.68,0.0
0.68,0.0
0.75,0.0
0.75,0.0
