headline,url,timestamp,tags,summary,ticker_symbols
Google removing links to California news websites as part of test in response to pending legislation,https://www.cnbc.com/2024/04/12/google-removing-links-to-california-news-websites-after-state-bill-.html,2024-04-12T20:22:24+0000,"['business', 'technology', 'breaking news technology', 'alphabet inc', 'meta platforms inc', 'apple inc']","('Google will begin removing links to California news websites from search results for some Californians after legislation was introduced last year.',)","['GOOGL', 'META', 'AAPL']"
"Dow tumbles 475 points, S&P 500 suffers worst day since January as inflation woes erupt",https://www.cnbc.com/2024/04/11/stock-market-today-live-updates.html,2024-04-12T20:18:04+0000,"['wti crude mar23', 'apple inc', 'state street corp', 'dow jones fut mar23', 'sp 500 fut mar23', 'nasdaq 100 fut mar23', 'globe life inc', 'nasdaq composite', 'dow jones industrial average', 'nvidia corp', 'sp 500 index', 'amazoncom inc', 'jpmorgan drn', 'wells fargo co', 'citigroup inc', 'blackrock inc', 'alphabet inc', 'united states', 'markets', 'stock markets', 'breaking news markets', 'prices', 'jamie dimon', 'economic events', 'dow inc', 'israel']","('Stocks fell on Friday as major U.S. banks kicked off the corporate earnings season while inflation and geopolitical concerns weighed on investors.',)","['@CL.1', 'AAPL', 'STT', '@DJ.1', '@SP.1', '@ND.1', 'GL', '.IXIC', '.DJI', 'NVDA', '.SPX', 'AMZN', 'JPM', 'WFC', 'C', 'BLK', 'GOOGL', 'DOW']"
The stock market's decline nears a level that makes us want to do some buying,https://www.cnbc.com/2024/04/12/the-stock-markets-decline-nears-a-level-that-makes-us-want-to-do-some-buying.html,2024-04-12T18:33:29+0000,"['procter gamble co', 'abbott laboratories', 'wells fargo co', 'morgan stanley', 'ford motor co', 'foot locker inc', 'alphabet inc', 'apple inc', 'wti crude mar23', 'constellation brands inc', 'best buy co inc', 'us 10 year treasury', 'nasdaq composite', 'sp 500 index', 'dow jones industrial average', 'jim cramer', 'investment strategy', 'markets', 'breaking news markets', 'homestretch', 'palo alto networks inc']","('Every weekday, the Investing Club releases the Homestretch; an actionable afternoon update just in time for the last hour of trading.',)","['PG', 'ABT', 'WFC', 'MS', 'F', 'FL', 'GOOGL', 'AAPL', '@CL.1', 'STZ', 'BBY', 'US10Y', '.IXIC', '.SPX', '.DJI', 'PANW']"
"Here are Friday's biggest analyst calls: Apple, Amazon, Tesla, Microsoft, Boeing, First Solar & more",https://www.cnbc.com/2024/04/12/fridays-stocks-to-buy-like-apple.html,2024-04-12T13:25:24+0000,"['tesla inc', 'hafnia ltd', 'hafnia ltd', 'starbucks corp', 'ecolab inc', 'spire global inc', 'corteva inc', 'netflix inc', 'boeing co', 'apple inc', 'cisco systems inc', 'novo nordisk as', 'novo nordisk as', 'amazoncom inc', 'mobileye global inc', 'academy sports and outdoors inc', 'charles schwab corp', 'arista networks inc', 'gitlab inc', 'docusign inc', 'first solar inc', 'microsoft corp', 'investment strategy', 'breaking news markets', 'markets', 'breaking news investing', 'marvell technology inc']","('Here are the biggest calls on Wall Street on Friday.',)","['TSLA', None, 'HAFNI-NO', 'SBUX', 'ECL', 'SPIR', 'CTVA', 'NFLX', 'BA', 'AAPL', 'CSCO', 'NVO', 'NOVO.B-DK', 'AMZN', 'MBLY', 'ASO', 'SCHW', 'ANET', 'GTLB', 'DOCU', 'FSLR', 'MSFT', 'MRVL']"
5 things to know before the stock market opens,https://www.cnbc.com/2024/04/12/5-things-to-know-before-the-stock-market-opens-friday-april-12.html,2024-04-12T11:29:48+0000,"['investment strategy', 'economy', 'markets', 'business', 'amazoncom inc', 'irobot corp', 'andrew ross sorkin', 'andrew ross sorkin', 'sp 500 index', 'nasdaq composite', 'apple inc', 'nvidia corp', 'jpmorgan drn', 'wells fargo co']","('Here are the most important news items that investors need to start their trading day.',)","['AMZN', 'IRBT', '.SPX', '.IXIC', 'AAPL', 'NVDA', 'JPM', 'WFC']"
Hong Kong stocks drop 2% as China exports fall more than expected,https://www.cnbc.com/2024/04/12/asia-markets-live-updates.html,2024-04-12T08:10:34+0000,"['shenzhen component index', 'ice brent crude apr23', 'wti crude mar23', 'australian dollarus dollar fx spot rate', 'usdjpy', 'dxy us dollar currency index', 'hang seng index', 'kospi index', 'spasx 200', 'nikkei 225 index', 'shanghai', 'breaking news asia', 'breaking news markets', 'markets', 'world markets', 'asia economy', 'australia', 'economic events', 'prices', 'amazoncom inc', 'nasdaq composite', 'apple inc', 'alphabet inc', 'nvidia corp', 'dow jones industrial average', 'sp 500 index', 'south korea', 'china', 'singapore']","(""Investors assessed China's exports, which slid more than expected, as well as economic data from Singapore and South Korea."",)","['.SZI', '@LCO.1', '@CL.1', 'AUD=', 'JPY=', '.DXY', '.HSI', '.KS11', '.AXJO', '.N225', '.SSEC', 'AMZN', '.IXIC', 'AAPL', 'GOOGL', 'NVDA', '.DJI', '.SPX']"
"Jim Cramer says Wall Street is too cynical about Jerome Powell, Nvidia and Apple",https://www.cnbc.com/2024/04/11/jim-cramer-says-wall-streets-too-cynical-on-powell-nvidia-and-apple.html,2024-04-11T23:34:06+0000,"['jim cramer', 'stock markets', 'investment strategy', 'business', 'markets', 'jim cramer', 'nvidia corp', 'apple inc']","(""CNBC's Jim Cramer on Thursday said Wall Street should be less jaded and trust market-moving leaders."",)","['NVDA', 'AAPL']"
"Trusting people who have earned your trust is key to making money, says Jim Cramer",https://www.cnbc.com/video/2024/04/11/trusting-people-who-have-earned-your-trust-is-key-to-making-money-says-jim-cramer.html,2024-04-11T23:18:44+0000,"['nvidia corp', 'apple inc', 'stock markets', 'neutral']","(""'Mad Money' host Jim Cramer talks keeping faith in his stock picks and how it has paid off."",)","['NVDA', 'AAPL']"
Jim Cramer talks keeping faith in Nvidia and Apple,https://www.cnbc.com/video/2024/04/11/jim-cramer-talks-keeping-faith-in-nvidia-and-apple.html,2024-04-11T23:13:15+0000,"['nvidia corp', 'apple inc', 'stock markets', 'neutral']","(""'Mad Money' host Jim Cramer talks keeping faith in his stock picks and how it has paid off."",)","['NVDA', 'AAPL']"
Moor Insights' Patrick Moorhead talks report Apple is preparing next-gen chips,https://www.cnbc.com/video/2024/04/11/moor-insights-patrick-moorhead-talks-report-apple-is-preparing-next-gen-chips.html,2024-04-11T20:56:49+0000,"['breaking news technology', 'apple inc', 'neutral', 'technology']","(""Patrick Moorhead, Moor Insights & Strategy CEO, joins 'Closing Bell Overtime' to talk Apple's big move up, a report concerning its next-gen chips, it AI strategy and more."",)",['AAPL']
