headline,url,timestamp,tags,summary
"Dow tumbles 475 points, S&P 500 suffers worst day since January as inflation woes erupt",https://www.cnbc.com/2024/04/11/stock-market-today-live-updates.html,2024-04-12T20:11:45+0000,"['wti crude mar23', 'apple inc', 'state street corp', 'dow jones fut mar23', 'sp 500 fut mar23', 'nasdaq 100 fut mar23', 'globe life inc', 'nasdaq composite', 'dow jones industrial average', 'nvidia corp', 'sp 500 index', 'amazoncom inc', 'jpmorgan drn', 'wells fargo co', 'citigroup inc', 'blackrock inc', 'alphabet inc', 'united states', 'markets', 'stock markets', 'breaking news markets', 'prices', 'jamie dimon', 'economic events']",Stocks fell on Friday as major U.S. banks kicked off the corporate earnings season while inflation and geopolitical concerns weighed on investors.
Trump tries to boost support for Truth Social as DJT stock tanks,https://www.cnbc.com/2024/04/12/trump-tries-to-boost-support-for-truth-social-as-his-media-stock-tanks.html,2024-04-12T20:09:12+0000,"['trump media technology group corp', 'donald trump', 'elections', 'breaking news politics', 'politics', 'donald trump', 'social media', 'ipo']","Shares of Trump Media, which trades as DJT, dipped below $30, a decline of more than $40 from its roaring Nasdaq debut weeks earlier."
"26-year-old works 20 minutes a day, brings in $462,000 a year from side hustle",https://www.cnbc.com/2024/04/11/how-etsy-candle-seller-turned-side-hustle-into-full-time-job.html,2024-04-11T16:12:14+0000,"['personal finance', 'lifestyle', 'etsy inc', 'side hustle', 'entrepreneurship']","Francisco Rivera started an Etsy side hustle to earn extra cash while tutoring. Now it's his full-time job, bringing in nearly half a million dollars last year."
Marjorie Taylor Greene won’t say what happened to her Trump Media stock ,https://www.cnbc.com/2024/04/12/marjorie-taylor-greene-wont-say-what-happened-to-her-trump-media-stock-.html,2024-04-12T18:33:27+0000,"['breaking news politics', 'economy', 'congress', 'white house', 'politics', 'donald trump', 'donald trump', 'greene county bancorp inc', 'trump media technology group corp', 'breaking news technology', 'technology', 'digital world acquisition corp']","Trump Media is the parent company of the former president's social media app, Truth Social. "
"Trump Media shares fall below $30, market cap cut in half since trade debut",https://www.cnbc.com/2024/04/12/trump-media-shares-drop-more-than-5percent-after-trading-day-begins.html,2024-04-12T18:29:25+0000,"['breaking news technology', 'nicholas wells', 'donald trump', 'donald trump', 'trump media technology group corp', 'business', 'social media', 'markets', 'breaking news markets', 'politics', 'breaking news politics', 'technology']","Donald Trump is the largest shareholder in Trump Media, which owns the Truth Social app frequently used by the presumptive Republican presidential nominee."
"62-year-old started her business with $1,000—now it brings in over $25M a year",https://www.cnbc.com/2024/04/07/mckissack-and-mckissack-from-1000-in-savings-to-bringing-in-millions.html,2024-04-11T18:10:43+0000,"['heavy construction industry', 'video first', 'historic sites', 'cultural history museums', 'entrepreneurship']",Deryl McKissack's family has been involved in the construction industry for five generations — but that didn't guarantee success when she launched her own firm.
Donation to Giuliani defense fund is target of lawsuit alleging fraud by donor,https://www.cnbc.com/2024/04/11/lawsuit-targets-donation-to-rudy-giuliani-defense-fund-.html,2024-04-11T18:35:20+0000,"['breaking news politics', 'politics', 'rudy giuliani', 'government and politics', 'collusion', 'securities fraud', 'donald trump', 'products and services', 'crime', 'laws', 'lawsuits', 'business', 'corruption', 'donald trump']",Former New York Mayor Rudy Giuliani is fighting several court cases related to his work as a lawyer for Donald Trump.
Vietnamese property tycoon sentenced to death in major financial fraud case,https://www.cnbc.com/2024/04/11/vietnamese-property-tycoon-sentenced-to-death-in-financial-fraud-case.html,2024-04-11T16:09:45+0000,"['vietnam', 'business', 'property managers', 'real estate', 'courts', 'national courts']",The Vietnamese property tycoon Truong My Lan was sentenced to death on Thursday for her involvement in the country's biggest financial fraud case. 
IRS: You have 'options' if you can't pay your taxes by the April 15 deadline,https://www.cnbc.com/2024/04/12/heres-what-to-do-if-you-cant-pay-your-taxes-by-the-deadline.html,2024-04-12T19:47:34+0000,"['tax bill', 'national taxes', 'internal revenue service', 'personal finance', 'government taxation and revenue', 'tax planning', 'personal saving', 'wealth']","If you can't pay your taxes by April 15, you have ""options,"" according to the IRS. Here's what to know about payment plans. "
JPMorgan shares drop after giving disappointing guidance on 2024 interest income,https://www.cnbc.com/2024/04/12/jpmorgan-chase-jpm-earnings-q1-2024.html,2024-04-12T17:13:40+0000,"['business', 'bank of america corp', 'economic events', 'goldman sachs group inc', 'morgan stanley', 'citigroup inc', 'wells fargo co', 'jamie dimon', 'jpmorgan drn', 'wall street', 'banks', 'earnings', 'breaking news markets', 'breaking news investing', 'investment strategy', 'breaking news earnings', 'jamie dimon', 'dividends']",JPMorgan Chase on Friday posted profit and revenue that topped Wall Street estimates as credit costs and trading revenue came in better than expected.
U.S. crude oil hovers at $86 as Israel reportedly preparing for Iran attack,https://www.cnbc.com/2024/04/12/crude-oil-prices-today.html,2024-04-12T20:02:48+0000,"['exxon mobil corp', 'ice brent crude apr23', 'wti crude mar23', 'investment strategy', 'oil and gas', 'breaking news markets', 'markets']","Israel is preparing for a direct attack by Iran on southern or northern Israel as soon as Friday or Saturday, The Wall Street Journal reported."
The bitcoin halving is different from others. Here’s what you need to know,https://www.cnbc.com/2024/04/11/the-upcoming-bitcoin-halving-is-different-from-others-before-it-heres-what-investors-need-to-know-.html,2024-04-12T11:19:40+0000,"['bitcoinusd coin metrics', 'cryptocurrency', 'technology', 'breaking news markets', 'markets', 'breaking news investing', 'investment strategy', 'bitcoin']","With the advent of ETFs, this cycle could be the one where bitcoin's trend of diminishing post-halving returns reverses."
The West urges China to intervene with Iran amid fears of an attack on Israel,https://www.cnbc.com/2024/04/12/the-west-urges-china-to-intervene-with-iran-amid-fears-of-a-direct-attack-on-israel.html,2024-04-12T15:17:39+0000,"['breaking news politics', 'politics', 'breaking news markets', 'markets', 'iran', 'israel', 'foreign policy', 'government and politics', 'china', 'united states', 'antony blinken', 'joe biden', 'tehran', 'benjamin netanyahu', 'joe biden']","Iranian Supreme Leader Ayatollah Ali Khamenei said Israel ""should be punished and will be punished"" for the death of seven top Iranian officials in Damascus, Syria."
Accounting jobs are in high demand—many pay over $100K and can be done from home,https://www.cnbc.com/2024/04/12/6-figure-accounting-jobs-are-in-high-demand-in-the-us-not-just-during-tax-season.html,2024-04-12T17:12:28+0000,"['united states', 'robert half international inc', 'personnel', 'labor economy', 'ziprecruiter inc']",More companies are increasing entry-level salaries for finance and accounting roles and offering referral bonuses to attract talent.
