

AAPL Financials(Income Statement/Balance Sheet):

Income Statement for AAPL                                                        2023-09-30      2022-09-30      2021-09-30      2020-09-30
Tax Effect Of Unusual Items                                    0.0             0.0             0.0             0.0
Tax Rate For Calcs                                           0.147           0.162           0.133           0.144
Normalized EBITDA                                   129188000000.0  133138000000.0  123136000000.0   81020000000.0
Net Income From Continuing Operation Net Minori...   96995000000.0   99803000000.0   94680000000.0   57411000000.0
Reconciled Depreciation                              11519000000.0   11104000000.0   11284000000.0   11056000000.0
Reconciled Cost Of Revenue                          214137000000.0  223546000000.0  212981000000.0  169559000000.0
EBITDA                                              129188000000.0  133138000000.0  123136000000.0   81020000000.0
EBIT                                                117669000000.0  122034000000.0  111852000000.0   69964000000.0
Net Interest Income                                   -183000000.0    -106000000.0     198000000.0     890000000.0
Interest Expense                                      3933000000.0    2931000000.0    2645000000.0    2873000000.0
Interest Income                                       3750000000.0    2825000000.0    2843000000.0    3763000000.0
Normalized Income                                    96995000000.0   99803000000.0   94680000000.0   57411000000.0
Net Income From Continuing And Discontinued Ope...   96995000000.0   99803000000.0   94680000000.0   57411000000.0
Total Expenses                                      268984000000.0  274891000000.0  256868000000.0  208227000000.0
Total Operating Income As Reported                  114301000000.0  119437000000.0  108949000000.0   66288000000.0
Diluted Average Shares                               15812547000.0   16325819000.0   16864919000.0   17528214000.0
Basic Average Shares                                 15744231000.0   16215963000.0   16701272000.0   17352119000.0
Diluted EPS                                                   6.13            6.11            5.61            3.28
Basic EPS                                                     6.16            6.15            5.67            3.31
Diluted NI Availto Com Stockholders                  96995000000.0   99803000000.0   94680000000.0   57411000000.0
Net Income Common Stockholders                       96995000000.0   99803000000.0   94680000000.0   57411000000.0
Net Income                                           96995000000.0   99803000000.0   94680000000.0   57411000000.0
Net Income Including Noncontrolling Interests        96995000000.0   99803000000.0   94680000000.0   57411000000.0
Net Income Continuous Operations                     96995000000.0   99803000000.0   94680000000.0   57411000000.0
Tax Provision                                        16741000000.0   19300000000.0   14527000000.0    9680000000.0
Pretax Income                                       113736000000.0  119103000000.0  109207000000.0   67091000000.0
Other Income Expense                                  -382000000.0    -228000000.0      60000000.0     -87000000.0
Other Non Operating Income Expenses                   -382000000.0    -228000000.0      60000000.0     -87000000.0
Net Non Operating Interest Income Expense             -183000000.0    -106000000.0     198000000.0     890000000.0
Interest Expense Non Operating                        3933000000.0    2931000000.0    2645000000.0    2873000000.0
Interest Income Non Operating                         3750000000.0    2825000000.0    2843000000.0    3763000000.0
Operating Income                                    114301000000.0  119437000000.0  108949000000.0   66288000000.0
Operating Expense                                    54847000000.0   51345000000.0   43887000000.0   38668000000.0
Research And Development                             29915000000.0   26251000000.0   21914000000.0   18752000000.0
Selling General And Administration                   24932000000.0   25094000000.0   21973000000.0   19916000000.0
Gross Profit                                        169148000000.0  170782000000.0  152836000000.0  104956000000.0
Cost Of Revenue                                     214137000000.0  223546000000.0  212981000000.0  169559000000.0
Total Revenue                                       383285000000.0  394328000000.0  365817000000.0  274515000000.0
Operating Revenue                                   383285000000.0  394328000000.0  365817000000.0  274515000000.0

Balance Sheet for AAPL                                                         2023-09-30      2022-09-30      2021-09-30      2020-09-30
Treasury Shares Number                                          0.0             NaN             NaN             NaN
Ordinary Shares Number                                15550061000.0   15943425000.0   16426786000.0   16976763000.0
Share Issued                                          15550061000.0   15943425000.0   16426786000.0   16976763000.0
Net Debt                                              81123000000.0   96423000000.0   89779000000.0   74420000000.0
Total Debt                                           111088000000.0  120069000000.0  124719000000.0  112436000000.0
Tangible Book Value                                   62146000000.0   50672000000.0   63090000000.0   65339000000.0
Invested Capital                                     173234000000.0  170741000000.0  187809000000.0  177775000000.0
Working Capital                                       -1742000000.0  -18577000000.0    9355000000.0   38321000000.0
Net Tangible Assets                                   62146000000.0   50672000000.0   63090000000.0   65339000000.0
Common Stock Equity                                   62146000000.0   50672000000.0   63090000000.0   65339000000.0
Total Capitalization                                 157427000000.0  149631000000.0  172196000000.0  164006000000.0
Total Equity Gross Minority Interest                  62146000000.0   50672000000.0   63090000000.0   65339000000.0
Stockholders Equity                                   62146000000.0   50672000000.0   63090000000.0   65339000000.0
