Ticker,Name,Market Cap,Sector,Business Summary,Industry,Shares Outstanding,Institution Ownership,Current Price,52-Week High,52-Week Low,Enterprise Value,Beta,Weekly Price Change %,Monthly Price Change %,Quarterly Price Change %,Half-Yearly Price Change %,Yearly Price Change %,YTD Price Change %,2019 Revenues,2020 Revenues,2021 Revenues,2022 Revenues,2023 Revenues,2024 Revenues,2025 Revenues,2019 Net Income,2020 Net Income,2021 Net Income,2022 Net Income,2023 Net Income,2024 Net Income,2025 Net Income,2019 EBITDA,2020 EBITDA,2021 EBITDA,2022 EBITDA,2023 EBITDA,2024 EBITDA,2025 EBITDA,2019 EBIT,2020 EBIT,2021 EBIT,2022 EBIT,2023 EBIT,2024 EBIT,2025 EBIT,Currency,Unit
ASMB,"Assembly Biosciences, Inc.",73907464.0,Healthcare,"Assembly Biosciences, Inc., a biotechnology company, develops therapeutic candidates for the treatment of viral diseases in the United States. It develops ABI-5366 and ABI-1179, which is in Phase 1a/1b clinical trial targeting recurrent genital herpes; and ABI-6250, an oral hepatitis delta virus entry inhibitor that is in Phase 1a clinical studies. The company also offers ABI-4334, a next-generation capsid assembly modulator which is in Phase 1b clinical trials, for the treatment of hepatitis B virus. In addition, it provides an oral non-nucleoside polymerase inhibitor indicated for transplant-associated herpesviruses; and small molecule interferon-a receptor to treat hepatitis B and delta virus. Further, Assembly Biosciences, Inc. has collaboration agreement with BeiGene, Ltd. to develop and commercialize the novel core inhibitor product candidates for chronic HBV infection in the People's Republic of China, Hong Kong, Taiwan, and Macau; and clinical trial collaboration agreement with Arbutus Biopharma Corporation to conduct a randomized, multi-center, and open-label clinical trials, as well as agreement with Antios Therapeutics, Inc. for triple combination therapy. It also has license agreement with Indiana University Research and Technology Corporation to develop and commercialize products for its HBV programs. The company was formerly known as Ventrus Biosciences, Inc. and changed its name to Assembly Biosciences, Inc. in June 2014. Assembly Biosciences, Inc. was incorporated in 2005 and is headquartered in South San Francisco, California.",Biotechnology,5482750.0,0.13154,13.48,20.04,7.68,-53997504.0,0.607,4.33,2.12,24.02,25.74,13.71,36.98,788.1,1046.0,1134.0,1489.0,1887.0,2213.0,2520.0,37.0,407.3,89.6,154.5,249.7,489.9,665.5,79.74,191.6,130.7,264.1,268.7,560.6,855.1,72.3,163.0,102.5,249.0,250.9,591.1,818.8,USD,Million
BNR,Burning Rock Biotech Limited,88198240.0,Healthcare,"Burning Rock Biotech Limited primarily develops and commercializes cancer therapy selection tests in the People's Republic of China. It operates in three segments: Central Laboratory Business, In-Hospital Business, and Pharma Research and Development Services. The company primarily offers next-generation sequencing-based tissue and liquid biopsy cancer therapy selection and prognosis prediction tests for various range of cancer types, including lung cancer, gastrointestinal cancer, prostate cancer, breast cancer, lymphomas, thyroid cancer, colorectal cancer, ovarian cancer, pancreatic cancer, and bladder cancer using tissue and liquid biopsy samples. Its principal products include OncoCompass IO, a corresponding test for liquid biopsy samples; OncoScreen IO, a pan-cancer test for tissue samples; and OncoCompass Target, a ctDNA liquid biopsy-based test for NSCLC. In addition, the company provides ColonCore for assessing microsatellite loci related to MSI status and detecting mutations in genes associated with gastrointestinal cancers; and brPROPHET, a pre-operative ctDNA detection and post-operative MRD calling for relapsed patients. Further, it has development and commercialization agreement with Myriad Genetics, Inc. to in-license Myriad myChoice tumor testing in China; licensing agreement with Oncocyte Corporation to in-license DetermaRx, a risk stratification test for early stage lung cancer patients in China; and collaborations on clinical trials and research studies with AstraZeneca, Bayer, Johnson & Johnson, CStone, BeiGene, Abbisko Therapeutics, and IMPACT Therapeutics and Merck KGaA. Additionally, the company offers OncoMaster, an automatic NGS data analysis and report interpretation machine for in-hospital model. Burning Rock Biotech Limited was incorporated in 2014 and is headquartered in Guangzhou, China.",Diagnostics & Research,102675000.0,0.60972,0.8208,3.25,0.572,-518725184.0,0.232,2.6,15.43,-13.26,-20.31,-70.47,-11.74,29883.0,31306.0,35391.0,38112.0,41896.0,45126.0,47636.0,4454.0,3533.0,8539.0,5313.0,9028.0,8734.0,9358.0,0.0,0.0,0.0,0.0,10965.0,11449.0,11728.0,6063.0,4472.0,7078.0,8510.0,10655.0,11748.0,11963.0,USD,Million
DUET,DUET Acquisition Corp.,41972308.0,Financial Services,"DUET Acquisition Corp. does not have significant operations. It focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses in technology sector. The company was incorporated in 2021 and is based in Kuala Lumpur, Malaysia.",Shell Companies,1673340.0,2.35453,10.96,11.83,10.4,44217628.0,0.06,0.0,-0.09,2.24,5.28,11.38,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006092,-0.4696,0.2228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006092,-1.289,-2.76,0.0,0.0,0.0,0.0,USD,Million
DRMAW,"Dermata Therapeutics, Inc.",0.0,Healthcare,"Dermata Therapeutics, Inc., a late-stage medical dermatology company, focuses on identifying, developing, and commercializing pharmaceutical product candidates for the treatment of medical and aesthetic skin conditions and diseases. The company's lead product candidate is DMT310, which has completed Phase IIb clinical trial for treatment of moderate-to-severe acne; and Phase Ib proof of concept (POC) trial for Mild-to-Moderate Psoriasis, as well as is in a Phase 2 clinical trial for treatment of moderate-to-severe rosacea. It is also developing DMT410 that has completed Phase Ib POC trials for the treatment of anxillary hyperhidrosis and aesthetic conditions. Dermata Therapeutics, Inc. was incorporated in 2014 and is headquartered in San Diego, California.",Biotechnology,0.0,0.0,0.0092,0.0092,0.0092,0.0,0.872,0.0,0.0,0.0,0.0,0.0,0.0,380.8,540.1,701.9,933.0,1243.0,1852.0,2898.0,-715.1,-554.1,-418.8,-703.5,-536.0,213.6,1004.0,-681.1,-537.3,-421.7,-494.3,-223.4,159.0,1034.0,-705.6,-564.2,-459.7,-536.2,-267.8,154.7,929.7,USD,Million
IRMD,IRADIMED CORPORATION,537468608.0,Healthcare,"IRADIMED CORPORATION develops, manufactures, markets, and distributes magnetic resonance imaging (MRI) compatible medical devices and related accessories, and disposables and services in the United States and internationally. It offers MRidium MRI compatible intravenous (IV) infusion pump system with associated disposable IV tubing sets; MRI compatible patient vital signs monitoring system; and 3600 FMD1 with RALU ferromagnetic detection device. The company also provides non-magnetic IV poles, wireless remote displays/controls, side car pump modules, dose error reduction systems, and SpO2 monitoring with sensors and accessories. It serves hospitals, acute care facilities, and outpatient imaging centers. The company sells its products through direct field sales representatives, regional sales directors, clinical application specialists, and independent distributors. IRADIMED CORPORATION was incorporated in 1992 and is headquartered in Winter Springs, Florida.",Medical Devices,12664200.0,0.54903,42.44,51.037,36.12,489690464.0,0.855,4.87,-1.19,-3.92,12.64,4.26,-10.6,38.52,31.72,41.81,53.3,65.56,72.56,81.19,9.631,1.369,9.325,12.83,17.19,17.74,20.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.647,-0.7561,9.818,15.63,20.04,20.59,25.24,USD,Million
CFFI,C&F Financial Corporation,124601936.0,Financial Services,"C&F Financial Corporation operates as a bank holding company for Citizens and Farmers Bank that provides banking services to individuals and businesses. It operates through three segments: Community Banking, Mortgage Banking, and Consumer Finance. The Community Banking segment offers various banking services, including checking and savings deposit accounts, as well as business, real estate, development, mortgage, home equity, and installment loans. This segment also provides ATMs, Internet and mobile banking, peer-to-peer payment capabilities, and debit cards, as well as safe deposit box rentals, notary public, electronic transfer, and other customary bank services. The Mortgage Banking segment provides various residential mortgage loans; originates conventional mortgage loans, mortgage loans insured by the Federal Housing Administration, and mortgage loans guaranteed by the United States Department of Agriculture and the Veterans Administration; and ancillary mortgage loan production services to third parties for residential appraisals, as well as various mortgage origination activities. The Consumer Finance segment provides automobile loans. It also offers brokerage and wealth management services, and insurance products and services, as well as title and settlement agency. C&F Financial Corporation was founded in 1927 and is headquartered in Toano, Virginia.",Banks - Regional,3367620.0,0.37825,37.0,72.0,33.51,207482896.0,0.343,4.67,-23.79,-35.92,-30.06,-32.22,-45.74,278397.0,180366.0,157739.0,241392.0,210130.0,211406.0,208833.0,4026.0,-20305.0,7565.0,-2487.0,15239.0,13850.0,13524.0,36571.0,12041.0,37147.0,60362.0,42964.0,41918.0,42211.0,18791.0,-2848.0,22342.0,46044.0,27036.0,26346.0,26041.0,USD,Million
TCBS,"Texas Community Bancshares, Inc.",45188200.0,Financial Services,"Texas Community Bancshares, Inc. operates as the bank holding company for Mineola Community Bank, S.S.B. that provides loans and banking services to consumers and commercial customers in Mineola, Texas and the surrounding area, and the Dallas Fort Worth Metroplex. It generates a selection of deposit accounts, including savings accounts, checking accounts, certificates of deposit, and individual retirement accounts. The company also originates primarily one- to four-family residential mortgage loans, commercial real estate loans, and construction and land loans; and car, boat, share, unsecured loans, etc., as well as agricultural loans, commercial loans, and consumer and other loans. In addition, it invests in securities; and offers sweep account, safe deposit boxes, e-statement, cards, online banking, and mobile banking services. Texas Community Bancshares, Inc. was founded in 1934 and is headquartered in Mineola, Texas.",Banks - Regional,3187880.0,0.07971,14.175,15.24,9.38,97141544.0,-0.023,-1.68,-3.98,-0.64,11.19,-8.37,-0.74,14383.0,14461.0,18344.0,20028.0,17519.0,15740.0,17977.0,5017.0,5595.0,7769.0,8749.0,6510.0,4685.0,5824.0,6719.0,6825.0,9857.0,11065.0,8506.0,6934.0,8849.0,5723.0,5894.0,8960.0,10140.0,7331.0,5468.0,6857.0,USD,Million
BLBX,Blackboxstocks Inc.,8613794.0,Technology,"Blackboxstocks Inc. develops and markets financial technology and social media hybrid platform. It offers Blackbox System, a subscription-based software as a service that provides real-time proprietary analytics and news for stock and options traders. The company is headquartered in Dallas, Texas.",Software - Application,3226140.0,0.03526,2.67,4.25,1.6,8504953.0,0.351,2.69,3.09,-11.0,12.66,-24.15,-5.32,0.0,6.112,4.959,3.106,3.3,0.0,0.0,-0.3549,-2.616,-5.02,-4.664,-1.4,0.0,0.0,0.0,-0.8934,-4.37,-3.131,-0.4,0.0,0.0,0.0,-2.278,-4.546,-5.298,-1.4,0.0,0.0,USD,Million
HAO,Haoxi Health Technology Limited,155396592.0,Communication Services,"Haoxi Health Technology Limited, through its subsidiaries, provides online marketing solutions in China. It offers online marketing solutions, which include online short video marketing solutions to advertisers through its media partners; and customized marketing solutions by planning, producing, placing, and optimizing online ads to help its advertisers acquire, convert, and retain consumers on various online media platforms. The company places its ads through mainstream online short video platforms and social media platforms, such as Toutiao, Douyin, WeChat, and Sina Weibo. It serves advertiser client base primarily in the healthcare industry. The company was founded in 2018 and is based in Beijing, China.",Advertising Agencies,14970000.0,0.00055,4.91,8.83,4.03,144434624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29883.0,31306.0,35391.0,38112.0,41896.0,45126.0,47636.0,4454.0,3533.0,8539.0,5313.0,9028.0,8734.0,9358.0,0.0,0.0,0.0,0.0,10965.0,11449.0,11728.0,6063.0,4472.0,7078.0,8510.0,10655.0,11748.0,11963.0,USD,Million
EGBN,"Eagle Bancorp, Inc.",672244032.0,Financial Services,"Eagle Bancorp, Inc. operates as the bank holding company for EagleBank that provides commercial and consumer banking services primarily in the United States. The company also offers various commercial and consumer lending products comprising commercial loans for working capital, equipment purchases, real estate lines of credit, and government contract financing; asset based lending and accounts receivable financing; construction and commercial real estate loans; business equipment financing; consumer home equity lines of credit, personal lines of credit, and term loans; consumer installment loans, such as auto and personal loans; personal credit cards; and residential mortgage loans. In addition, it provides online and mobile banking services; checking and saving accounts; and other deposit services, including cash management services, business sweep accounts, lock boxes, remote deposit captures, account reconciliation services, merchant card services, safety deposit boxes, and automated clearing house origination, as well as after-hours depositories and ATM services. Further, the company offers insurance products and services through a referral program; and treasury management services. The company serves sole proprietors, small and medium-sized businesses, partnerships, corporations, and non-profit organizations and associations, as well as investors. Eagle Bancorp, Inc. was incorporated in 1997 and is headquartered in Bethesda, Maryland.",Banks - Regional,30186000.0,0.78455,22.24,31.97,16.72,1366575488.0,1.003,8.86,-1.02,-20.17,22.47,-14.13,-26.21,1677.0,1613.0,1817.0,2345.0,2608.0,2560.0,2665.0,674.0,567.8,873.0,1128.0,1161.0,1103.0,1143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.6,896.4,1021.0,1485.0,1585.0,1632.0,1653.0,USD,Million
