,accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0,0001973141-24-000208,2024-04-02,,2024-04-02T16:19:29.000Z,33,144,001-36743,24814491,,4448,0,0,xsl144X01/primary_doc.xml,
1,0001950047-24-002876,2024-04-02,,2024-04-02T16:18:52.000Z,33,144,001-36743,24814473,,4856,0,0,xsl144X01/primary_doc.xml,
2,0001959173-24-002769,2024-04-02,,2024-04-02T16:17:55.000Z,33,144,001-36743,24814454,,4652,0,0,xsl144X01/primary_doc.xml,
3,0001140361-24-015633,2024-03-27,,2024-03-27T16:30:18.000Z,34,SD,001-36743,24791229,,610447,0,0,ef20024616_sd.htm,SD
4,0000320193-24-000039,2024-03-01,2024-02-28,2024-03-01T18:36:45.000Z,,4,,,,5739,0,0,xslF345X05/wk-form4_1709336196.xml,FORM 4
5,0000320193-24-000038,2024-03-01,2024-02-28,2024-03-01T18:36:08.000Z,,4,,,,5742,0,0,xslF345X05/wk-form4_1709336160.xml,FORM 4
6,0000320193-24-000037,2024-03-01,2024-02-28,2024-03-01T18:35:22.000Z,,4,,,,5618,0,0,xslF345X05/wk-form4_1709336113.xml,FORM 4
7,0000320193-24-000036,2024-03-01,2024-02-28,2024-03-01T18:34:41.000Z,,4,,,,8280,0,0,xslF345X05/wk-form4_1709336072.xml,FORM 4
8,0000320193-24-000035,2024-03-01,2024-02-28,2024-03-01T18:33:38.000Z,,4,,,,5730,0,0,xslF345X05/wk-form4_1709336002.xml,FORM 4
9,0000320193-24-000034,2024-03-01,2024-02-28,2024-03-01T18:32:45.000Z,,4,,,,5747,0,0,xslF345X05/wk-form4_1709335956.xml,FORM 4
10,0000320193-24-000033,2024-03-01,2024-02-28,2024-03-01T18:31:56.000Z,,4,,,,5721,0,0,xslF345X05/wk-form4_1709335906.xml,FORM 4
11,0000320193-24-000032,2024-03-01,2024-02-28,2024-03-01T18:30:58.000Z,,3,,,,486482,0,0,xslF345X02/wk-form3_1709335848.xml,FORM 3
12,0001921094-24-000276,2024-02-29,,2024-02-29T17:25:08.000Z,33,144,001-36743,24705257,,4922,0,0,xsl144X01/primary_doc.xml,
13,0001140361-24-010155,2024-02-28,2024-02-28,2024-02-28T17:09:05.000Z,34,8-K,001-36743,24696744,5.07,859597,1,1,ny20022580x1_8k.htm,FORM 8-K
14,0001193125-24-036431,2024-02-14,,2024-02-14T16:47:05.000Z,34,SC 13G/A,005-33632,24639680,,600487,0,0,d751537dsc13ga.htm,SC 13G/A
15,0001104659-24-020009,2024-02-13,,2024-02-13T16:55:49.000Z,34,SC 13G/A,005-33632,24627065,,13130,0,0,tv0017-appleinc.htm,SCHEDULE 13G/A
16,0001086364-24-006980,2024-02-12,,2024-02-12T16:17:19.000Z,34,SC 13G/A,005-33632,24620156,,13991,0,0,us0378331005_021224.txt,
17,0001096906-24-000181,2024-02-09,,2024-02-09T16:26:35.000Z,34,PX14A6G,001-36743,24615426,,177443,0,0,nlpc_px14a6g.htm,NATIONAL LEGAL AND POLICY CENTER - PX14A6G
18,0000320193-24-000022,2024-02-05,2024-02-01,2024-02-05T18:37:14.000Z,,4,,,,8450,0,0,xslF345X05/wk-form4_1707176223.xml,FORM 4
