Item Number,Topic,Page Number
Item 1.,"['Business', 'Information about our Executive Officers']",20
Item 1A.,['Risk Factors'],23
Item 1B.,['Unresolved Staff Comments'],37
Item 2.,['Properties'],37
Item 3.,['Legal Proceedings'],37
Item 4.,['Mine Safety Disclosures'],37
Item 5.,"['Market for Registrant’s Common Equity, Related Stockholder Matters, and Issuer Purchases of Equity Securities']",38
Item 6.,,39
Item 7.,['Management’s Discussion and Analysis of Financial Condition and Results of Operations'],40
Item 7A.,['Quantitative and Qualitative Disclosures about Market Risk'],57
Item 8.,['Financial Statements and Supplementary Data'],58
Item 9.,['Changes in and Disagreements with Accountants on Accounting and Financial Disclosure'],99
Item 9A.,"['Controls and Procedures', 'Report of Management on Internal Control over Financial Reporting', 'Report of Independent Registered Public Accounting Firm']",100
Item 9B.,['Other Information'],101
Item 9C.,['Disclosure Regarding Foreign Jurisdictions that Prevent Inspections'],101
Item 10.,"['Directors, Executive Officers, and Corporate Governance']",101
Item 11.,['Executive Compensation'],101
Item 12.,['Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters'],101
Item 13.,"['Certain Relationships and Related Transactions, and Director Independence']",101
Item 14.,['Principal Accountant Fees and Services'],101
Item 15.,['Exhibit and Financial Statement Schedules'],102
Item 16.,"['Form 10-K Summary', 'Signatures']",109
