headline,url,timestamp,tags,summary
The West urges China to intervene with Iran amid fears of an attack on Israel,https://www.cnbc.com/2024/04/12/the-west-urges-china-to-intervene-with-iran-amid-fears-of-a-direct-attack-on-israel.html,2024-04-12T15:17:39+0000,"['breaking news politics', 'politics', 'breaking news markets', 'markets', 'iran', 'israel', 'foreign policy', 'government and politics', 'china', 'united states', 'antony blinken', 'joe biden', 'tehran', 'benjamin netanyahu', 'joe biden']","Iranian Supreme Leader Ayatollah Ali Khamenei said Israel ""should be punished and will be punished"" for the death of seven top Iranian officials in Damascus, Syria."
"26-year-old works 20 minutes a day, brings in $462,000 a year from side hustle",https://www.cnbc.com/2024/04/11/how-etsy-candle-seller-turned-side-hustle-into-full-time-job.html,2024-04-11T16:12:14+0000,"['personal finance', 'lifestyle', 'etsy inc', 'side hustle', 'entrepreneurship']","Francisco Rivera started an Etsy side hustle to earn extra cash while tutoring. Now it's his full-time job, bringing in nearly half a million dollars last year."
"Trump Media shares fall below $30, market cap cut in half since trade debut",https://www.cnbc.com/2024/04/12/trump-media-shares-drop-more-than-5percent-after-trading-day-begins.html,2024-04-12T14:51:14+0000,"['breaking news politics', 'politics', 'breaking news markets', 'markets', 'social media', 'business', 'trump media technology group corp', 'donald trump', 'donald trump', 'nicholas wells']","Donald Trump is the largest shareholder in Trump Media, which owns the Truth Social app frequently used by the presumptive Republican presidential nominee."
Donation to Giuliani defense fund is target of lawsuit alleging fraud by donor,https://www.cnbc.com/2024/04/11/lawsuit-targets-donation-to-rudy-giuliani-defense-fund-.html,2024-04-11T18:35:20+0000,"['breaking news politics', 'politics', 'rudy giuliani', 'government and politics', 'collusion', 'securities fraud', 'donald trump', 'products and services', 'crime', 'laws', 'lawsuits', 'business', 'corruption', 'donald trump']",Former New York Mayor Rudy Giuliani is fighting several court cases related to his work as a lawyer for Donald Trump.
"Biden to forgive $7.4 billion in student debt for another 277,000 borrowers",https://www.cnbc.com/2024/04/12/biden-to-forgive-7point4-billion-in-student-debt-for-277000-borrowers.html,2024-04-12T14:02:44+0000,"['breaking news', 'government and politics', 'joe biden', 'personal finance', 'breaking news politics', 'politics', 'breaking news investing', 'student loans']","The Biden administration announced it will forgive $7.4 billion in student debt for another 277,000 borrowers, its latest round of relief."
"Dow falls 300 points as inflation concerns persist, JPMorgan drops",https://www.cnbc.com/2024/04/11/stock-market-today-live-updates.html,2024-04-12T15:20:50+0000,"['wti crude mar23', 'apple inc', 'state street corp', 'dow jones fut mar23', 'sp 500 fut mar23', 'nasdaq 100 fut mar23', 'globe life inc', 'nasdaq composite', 'dow jones industrial average', 'nvidia corp', 'sp 500 index', 'amazoncom inc', 'jpmorgan drn', 'wells fargo co', 'citigroup inc', 'blackrock inc', 'alphabet inc', 'united states', 'markets', 'stock markets', 'breaking news markets', 'prices', 'jamie dimon', 'economic events']",Stocks fell on Friday as major U.S. banks kicked off the corporate earnings season while inflation and geopolitical concerns weighed on investors.
Marjorie Taylor Greene won’t say what happened to her Trump Media stock ,https://www.cnbc.com/2024/04/12/marjorie-taylor-greene-wont-say-what-happened-to-her-trump-media-stock-.html,2024-04-12T14:30:01+0000,"['breaking news politics', 'economy', 'congress', 'white house', 'politics', 'donald trump', 'donald trump', 'greene county bancorp inc', 'trump media technology group corp', 'breaking news technology', 'technology']","Trump Media is the parent company of the former president's social media app, Truth Social. "
JPMorgan shares drop after giving disappointing guidance on 2024 interest income,https://www.cnbc.com/2024/04/12/jpmorgan-chase-jpm-earnings-q1-2024.html,2024-04-12T14:10:57+0000,"['business', 'bank of america corp', 'economic events', 'goldman sachs group inc', 'morgan stanley', 'citigroup inc', 'wells fargo co', 'jamie dimon', 'jpmorgan drn', 'wall street', 'banks', 'earnings', 'breaking news markets', 'breaking news investing', 'investment strategy', 'breaking news earnings', 'jamie dimon', 'dividends']",JPMorgan Chase on Friday posted profit and revenue that topped Wall Street estimates as credit costs and trading revenue came in better than expected.
U.S. crude oil breaks above $87 as Israel reportedly preparing for Iran attack,https://www.cnbc.com/2024/04/12/crude-oil-prices-today.html,2024-04-12T14:50:08+0000,"['exxon mobil corp', 'ice brent crude apr23', 'wti crude mar23', 'investment strategy', 'oil and gas', 'breaking news markets', 'markets']","Israel is preparing for a direct attack by Iran on southern or northern Israel as soon as Friday or Saturday, The Wall Street Journal reported."
Vietnamese property tycoon sentenced to death in major financial fraud case,https://www.cnbc.com/2024/04/11/vietnamese-property-tycoon-sentenced-to-death-in-financial-fraud-case.html,2024-04-11T16:09:45+0000,"['vietnam', 'business', 'property managers', 'real estate', 'courts', 'national courts']",The Vietnamese property tycoon Truong My Lan was sentenced to death on Thursday for her involvement in the country's biggest financial fraud case. 
