description,cn:lastPubDate,dateModified,cn:dateline,cn:branding,section,cn:type,author,cn:source,cn:subtype,duration,summary,expires,cn:sectionSubType,cn:contentClassification,pubdateunix,_id,url,@id,datePublished,cn:promoImage,cn:title,cn:keyword,cn:liveURL,_pubDate,_type,_index,brand,hint,hint_detail
"Nvidia's Data Center business just logged $18.4 billion in fourth-quarter sales, underscoring how the computer chip giant continues to benefit from the current boom in artificial intelligence.As part ",2024-02-21T16:49:07+0000,2024-02-21T16:49:07+0000,,cnbc,Technology,cnbcnewsstory,Jonathan Vanian,[],,,Nvidia's Data Center business just logged $18.4 billion in fourth-quarter sales.,,['section'],[],1708551515,825753,https://www.cnbc.com/2024/02/21/nvidias-data-center-business-is-booming-up-over-400percent-since-last-year-to-18point4-billion-in-fourth-quarter-sales.html,107376270,2024-02-21T21:38:35+0000,https://image.cnbcfm.com/api/v1/image/107376256-1708533659775-gettyimages-1888078901-raa-nvidiaph231230_npitu.jpeg?v=1708541134,"Nvidia's Data Center business is booming, up more than 400% since last year to $18.4 billion in fourth-quarter sales",,https://www.cnbc.com/2024/02/21/nvidias-data-center-business-is-booming-up-over-400percent-since-last-year-to-18point4-billion-in-fourth-quarter-sales.html,2/22/2024 5:38:35 AM,0,0,cnbc,,
"When Nvidia reports fiscal fourth-quarter earnings after the market close Wednesday, it will do so as the world's third most valuable public company. Investors are giving the company little margin for",2024-02-20T08:53:52+0000,2024-02-20T08:53:52+0000,,cnbc,Technology,cnbcnewsstory,Kif Leswing,[],,,"Even if Nvidia shows incredible growth, it could still come up short of elevated expectations given the stock's fivefold increase since the end of 2022.",,"['section', 'special_report']",[],1708435801,825455,https://www.cnbc.com/2024/02/20/nvidia-faces-stiff-test-in-q4-earnings-after-parabolic-stock-rally.html,107374487,2024-02-20T13:30:01+0000,https://image.cnbcfm.com/api/v1/image/107373142-1707856629430-gettyimages-1885796923-AI_CEOs_516_091323.jpeg?v=1708104708,Nvidia faces stiff test on Wall Street this week after 'parabolic' stock rally,,https://www.cnbc.com/2024/02/20/nvidia-faces-stiff-test-in-q4-earnings-after-parabolic-stock-rally.html,2/20/2024 9:30:01 PM,0,1,cnbc,,
"CNBC's Jim Cramer said Tuesday that Shopify investors are searching for clues after the company's financial outlook fell short of expectations, tanking shares despite a positive quarter.Shopify report",2024-02-13T11:14:02+0000,2024-02-13T11:14:02+0000,,cnbc,Markets,cnbcnewsstory,Paulina Likos,[],,,The stock sank on a softer guide.,,"['marketsection', 'section', 'special_report']",['registeredOnly'],1707840391,824650,https://www.cnbc.com/2024/02/13/cramer-calls-shopifys-financial-guidance-quizzical-after-such-a-strong-quarter.html,107372909,2024-02-13T16:06:31+0000,https://image.cnbcfm.com/api/v1/image/107100663-1659986486264-shop.jpg?v=1695835353,Jim Cramer calls Shopify's financial guidance 'quizzical' after such a strong quarter,,https://www.cnbc.com/2024/02/13/cramer-calls-shopifys-financial-guidance-quizzical-after-such-a-strong-quarter.html,2/14/2024 12:06:31 AM,0,2,cnbc,,
"Disney CFO Hugh Johnston joins 'Squawk Box' to discuss the company's quarterly earnings results, new sports streaming alliance with Fox and Warner Bros. Discovery, the impact on the future of ESPN, th",2024-02-08T08:53:17+0000,2024-02-08T08:53:17+0000,,cnbc,Squawk Box U.S.,cnbcvideo,,[],clips,476,"Disney CFO Hugh Johnston joins 'Squawk Box' to discuss the company's quarterly earnings results, new sports streaming alliance with Fox and Warner Bros. Discovery, the impact on the future of ESPN, the company's investment in Epic Games, and more.",,"['news_show', 'marketsection', 'section', 'videosection']",[],1707400397,824008,https://www.cnbc.com/video/2024/02/08/disney-cfo-hugh-johnston-on-q1-results-new-sports-streaming-alliance-and-epic-games-investment.html,107370718,2024-02-08T13:53:17+0000,https://image.cnbcfm.com/api/v1/image/107370719-17073960651707396060-33247892943-1080pnbcnews.jpg?v=1707396064,"Disney CFO Hugh Johnston on Q1 results, new sports streaming alliance and Epic Games investment",,https://www.cnbc.com/video/2024/02/08/disney-cfo-hugh-johnston-on-q1-results-new-sports-streaming-alliance-and-epic-games-investment.html,2/8/2024 9:53:17 PM,0,3,cnbc,,
"Here are the biggest calls on Wall Street on Thursday:Jefferies reiterates Walmart as buyJefferies sees a $20 billion AI and automation opportunity for Walmart.""We believe innovations in automated dis",2024-02-08T08:22:11+0000,2024-02-08T08:22:11+0000,,cnbc,Pro: Analyst Stock Picks,cnbcnewsstory,Michael Bloom,[],,,Here are the biggest calls on Wall Street on Thursday.,,['section'],['premium'],1707398531,823997,https://www.cnbc.com/2024/02/08/thursdays-top-stocks-to-buy-including-nvidia.html,107370654,2024-02-08T13:22:11+0000,https://image.cnbcfm.com/api/v1/image/107101436-16600762602021-03-10t171933z_884366343_rc2h8m9z50j1_rtrmadp_0_roblox-ipo.jpeg?v=1691668181,"Here are Thursday's biggest analyst calls: Nvidia, Disney, Tesla, Apple, Walmart, Roblox, American Express & more","analyst, upgrade, downgrade, price target",https://www.cnbc.com/2024/02/08/thursdays-top-stocks-to-buy-including-nvidia.html,2/8/2024 9:22:11 PM,0,4,cnbc,subscription,CNBC Pro
"Wynn Resorts posted beats on its top and bottom lines in the fourth quarter. In results released after the closing bell Wednesday, both Macao locations and Las Vegas were strong while Boston Harbor wa",2024-02-07T21:05:42+0000,2024-02-07T21:05:42+0000,,cnbc,CNBC Investing Club: Analysis,cnbcnewsstory,Zev Fima,[],,,Both Macao locations and Las Vegas were strong while Boston Harbor was essentially in line with expectations.,,"['section', 'special_report', 'marketsection']","['subscriberAlert', 'investingClub']",1707357917,823939,https://www.cnbc.com/2024/02/07/wynn-nearly-back-in-macao-vegas-strong-ahead-of-super-bowl-chinese-new-year.html,107370590,2024-02-08T02:05:17+0000,https://image.cnbcfm.com/api/v1/image/106941926-1631667177752-gettyimages-1005055688-MACAU_CASINOS.jpeg?v=1707356721,"Wynn is almost back in Macao and crushing it in Vegas even before Super Bowl, Chinese New Year",,https://www.cnbc.com/2024/02/07/wynn-nearly-back-in-macao-vegas-strong-ahead-of-super-bowl-chinese-new-year.html,2/8/2024 10:05:17 AM,0,5,cnbc,subscription,Investing Club
Disney reported stronger-than-expected fiscal 2024 first-quarter earnings after the closing bell Wednesday as cost reductions across its many businesses boosted margins despite flat revenue. A strong ,2024-02-07T20:53:12+0000,2024-02-07T20:53:12+0000,,cnbc,CNBC Investing Club: Analysis,cnbcnewsstory,Jeff Marks,[],,,The stock was up more than 6% higher in after-hours trading.,,"['section', 'special_report', 'marketsection']","['subscriberAlert', 'investingClub']",1707353314,823918,https://www.cnbc.com/2024/02/07/disneys-stakes-its-claim-in-the-upcoming-peltz-board-fight-with-an-amazing-quarter.html,107370565,2024-02-08T00:48:34+0000,https://image.cnbcfm.com/api/v1/image/107090275-1658165786460-gettyimages-1241978352-ESPN_STREAMING.jpeg?v=1707351438,Disney stakes its claim in the upcoming Peltz board fight with an amazing quarter,,https://www.cnbc.com/2024/02/07/disneys-stakes-its-claim-in-the-upcoming-peltz-board-fight-with-an-amazing-quarter.html,2/8/2024 8:48:34 AM,0,6,cnbc,subscription,Investing Club
"Edgewell CEO Rod Little joins 'Money Movers' to discuss the company's quarterly earnings results, how much pricing is playing into Edgewell's gross margins, and more.",2024-02-07T12:09:45+0000,2024-02-07T12:09:45+0000,,cnbc,Money Movers,cnbcvideo,,[],clips,257,"Edgewell CEO Rod Little joins 'Money Movers' to discuss the company's quarterly earnings results, how much pricing is playing into Edgewell's gross margins, and more.",,['news_show'],[],1707325785,823836,https://www.cnbc.com/video/2024/02/07/edgewell-ceo-on-q1-earnings-beat.html,107370345,2024-02-07T17:09:45+0000,https://image.cnbcfm.com/api/v1/image/107370346-17073254801707325478-33236460261-1080pnbcnews.jpg?v=1707325480,Edgewell CEO on Q1 earnings beat,,https://www.cnbc.com/video/2024/02/07/edgewell-ceo-on-q1-earnings-beat.html,2/8/2024 1:09:45 AM,0,7,cnbc,,
DuPont on Tuesday delivered a fourth-quarter earnings beat on lowered expectations after warning two weeks ago. The stock shot higher on the print but was only slightly above where it closed the day o,2024-02-06T15:31:39+0000,2024-02-06T15:31:39+0000,,cnbc,CNBC Investing Club: Analysis,cnbcnewsstory,Zev Fima,[],,,The stock shot higher on the print but was only slightly above where it closed the day of the chemical giant's preannouncement.,,"['section', 'special_report', 'marketsection']","['subscriberAlert', 'investingClub']",1707251209,823666,https://www.cnbc.com/2024/02/06/dupont-sets-a-low-bar-and-hops-over-it-the-quarter-is-a-step-in-the-right-direction.html,107369848,2024-02-06T20:26:49+0000,https://image.cnbcfm.com/api/v1/image/104117246-GettyImages-3342243.jpg?v=1707250574,DuPont sets a low bar and hops over it — the quarter is a step in the right direction and investors scoop up shares,,https://www.cnbc.com/2024/02/06/dupont-sets-a-low-bar-and-hops-over-it-the-quarter-is-a-step-in-the-right-direction.html,2/7/2024 4:26:49 AM,0,8,cnbc,subscription,Investing Club
"Steve MacMillan, Hologic CE, joins 'Money Movers' to discuss the company's new AI cervical screening system, Hologic's quarterly earnings results, and more.",2024-02-05T13:08:06+0000,2024-02-05T13:08:06+0000,,cnbc,Money Movers,cnbcvideo,,[],clips,236,"Steve MacMillan, Hologic CE, joins 'Money Movers' to discuss the company's new AI cervical screening system, Hologic's quarterly earnings results, and more.",,['news_show'],[],1707156486,823431,https://www.cnbc.com/video/2024/02/05/hologic-ceo-on-q1-earnings-ai-in-health-care.html,107369151,2024-02-05T18:08:06+0000,https://image.cnbcfm.com/api/v1/image/107369152-17071542961707154293-33208017302-1080pnbcnews.jpg?v=1707154296,"Hologic CEO on Q1 earnings, AI in health care",,https://www.cnbc.com/video/2024/02/05/hologic-ceo-on-q1-earnings-ai-in-health-care.html,2/6/2024 2:08:06 AM,0,9,cnbc,,
