Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
VXX,837631,3510,13.81,3700,13.80,13.80,836811,820
IEFA,698190,13400,72.37,19410,72.36,72.37,692875,5315
USHY,674462,25260,36.09,39165,36.08,36.09,669548,4914
VIXY,425138,1200,13.73,900,13.72,13.72,401463,23675
FBTC,387350,1050,58.46,60,58.44,58.46,386725,625
EZU,366721,5401,50.14,1900,50.13,50.14,366421,300
UVIX,348827,1300,9.46,418,9.45,9.45,311690,37137
UVXY,325651,600,34.08,200,34.05,34.05,317622,8029
NVDQ,310164,3400,5.19,5092,5.18,5.19,309864,300
GOVT,306122,138099,22.25,242801,22.24,22.24,302737,3385
BITX,283894,1100,45.41,350,45.32,45.34,280971,2923
VHAI,271119,100,0.24,300,0.23,0.23,207395,63724
ARKG,269862,350,24.37,362,24.36,24.36,264073,5789
PAVE,262349,800,37.97,1566,37.96,37.96,262339,10
ITB,238359,200,105.95,100,105.92,105.96,238125,234
IGV,210689,100,80.95,700,80.94,80.96,207452,3237
INDA,206316,6126,52.01,2920,52.00,52.00,205114,1202
AAAU,199224,30688,23.06,14900,23.05,23.03,198073,1151
CALF,157220,1900,47.32,800,47.31,47.32,157116,104
COWZ,151691,1300,55.72,500,55.71,55.71,151424,267
SVIX,131661,10,39.00,2,38.99,39.01,108968,22693
ARKB,120896,100,66.81,50,66.79,66.80,120446,450
USMV,114632,1001,81.30,801,81.29,81.32,111706,2926
VNM,94625,11700,12.02,3305,12.01,12.01,94025,600
SING,84637,5000,0.20,100,0.19,0.20,82287,2350
NVDX,80394,1100,81.57,100,81.48,81.63,80394,0
EFV,75484,1090,53.89,990,53.88,53.89,75258,226
QUAL,74301,100,157.91,100,157.89,157.91,73601,700
VIXM,72702,500,15.66,100,15.64,15.64,70039,2663
SVXY,71263,300,54.40,100,54.37,54.39,71163,100
MOAT,66851,850,85.88,1055,85.86,85.87,66851,0
HEFA,62195,7100,34.50,3400,34.48,34.49,61995,200
BBJP,60151,681,55.38,1900,55.37,55.38,59950,201
BBEU,53883,1300,58.68,2000,58.66,58.67,53783,100
HYD,44935,300,51.52,1001,51.51,51.51,44889,46
FLDR,40547,300,49.97,100,49.96,49.96,27124,13423
BUFR,40409,1400,27.71,400,27.70,27.70,40209,200
ITA,39243,200,129.40,204,129.37,129.39,39243,0
MTUM,38988,100,179.10,100,179.04,179.08,38296,692
FBCG,38472,900,36.99,100,36.96,36.98,38395,77
SPYI,36324,600,49.04,115,49.02,49.03,35533,791
NOBL,35921,100,97.99,400,97.98,98.00,35919,2
BBAX,34663,1100,47.05,600,47.03,47.04,34663,0
ICSH,33551,9507,50.47,3586,50.46,50.46,33551,0
SLVP,29998,700,11.55,1000,11.50,11.50,29498,500
DFIC,28743,19398,26.26,28120,26.25,26.26,28743,0
RDVI,28690,700,23.61,600,23.59,23.60,28690,0
KNG,28650,300,51.80,300,51.77,51.80,26850,1800
REM,25842,700,22.36,280,22.35,22.35,24699,1143
JMST,25426,1000,50.67,900,50.66,50.66,22491,2935
FLOT,25284,7943,51.04,9643,51.03,51.03,25284,0
